Factor,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,Mean1,Mean2,Mean.diff.log,comparisons,lab.p.adj,lab.p,label,Sites
Blautia_wexlerae,-0.00625071743813943,Value,BL,T04,20,20,102,0.927,-0.103178927188814,0.0976751542392431,Wilcoxon,two.sided,0.99807,-2.45582093536778,-2.39674628649194,0.0573955541027157,BL/T04,ns,ns,ns/ns,VA
Butyricicoccus_sp_AM29_23AC,-0.171052285515888,Value,BL,T04,20,20,76,0.294,-0.395802263289716,0.145193337589788,Wilcoxon,two.sided,0.99807,-2.80232914666238,-2.66550786028453,0.128236022447622,BL/T04,ns,ns,ns/ns,VA
Butyricimonas_faecihominis,0.230641000431369,Value,BL,T04,20,20,142,0.177,-0.160675726186788,0.531354064811906,Wilcoxon,two.sided,0.99807,-2.6379297903096,-2.84793964842255,-0.190628506776246,BL/T04,ns,ns,ns/ns,VA
Butyricimonas_paravirosa,0.0270116841809286,Value,BL,T04,20,20,109,0.898,-0.283472035221961,0.285096022861865,Wilcoxon,two.sided,0.99807,-2.66050223036471,-2.66177574035112,-0.00127269976038056,BL/T04,ns,ns,ns/ns,VA
Butyricimonas_SGB15260,0.136876654164617,Value,BL,T04,20,20,132,0.33,-0.150917643880385,0.427333622284025,Wilcoxon,two.sided,0.99807,-2.66731733022283,-2.81391855828528,-0.136802112538543,BL/T04,ns,ns,ns/ns,VA
Butyricimonas_sp_Marseille_P3923,-0.0299263384012727,Value,BL,T04,20,20,101,0.898,-0.345678692828628,0.379464811837303,Wilcoxon,two.sided,0.99807,-2.92530702927369,-2.92263756838477,0.00266590420640863,BL/T04,ns,ns,ns/ns,VA
Butyricimonas_virosa,0.00148128746926945,Value,BL,T04,20,20,106,0.985,-0.281944346593986,0.267915447784062,Wilcoxon,two.sided,1,-2.74171342076836,-2.7822943561879,-0.0397791489485418,BL/T04,ns,ns,ns/ns,VA
Candidatus_Cibionibacter_quicibialis,-0.150609203096106,Value,BL,T04,20,20,76,0.294,-0.443527927069763,0.130674839478116,Wilcoxon,two.sided,0.99807,-2.68164765922082,-2.5455176483722,0.127627759920062,BL/T04,ns,ns,ns/ns,VA
Catenibacterium_SGB4425,-0.303461737729315,Value,BL,T04,20,20,47,0.0296,-0.554975425057487,-0.0184341427446122,Wilcoxon,two.sided,0.977426086956522,-2.79271691731802,-2.50637411961202,0.251803151496485,BL/T04,ns,*,*/ns,VA
Clostridiaceae_bacterium,-0.00318074339172525,Value,BL,T04,20,20,104,0.985,-0.181926367708925,0.144527611514633,Wilcoxon,two.sided,1,-2.54909947356741,-2.51707746384071,0.0315199940864999,BL/T04,ns,ns,ns/ns,VA
Clostridiaceae_bacterium_AF18_31LB,-0.0550225518049522,Value,BL,T04,20,20,82,0.409,-0.204926298200126,0.180536519212885,Wilcoxon,two.sided,0.99807,-2.71043502815053,-2.69360504405183,0.016689929147058,BL/T04,ns,ns,ns/ns,VA
Clostridiaceae_bacterium_Marseille_Q3526,-0.000805556216769032,Value,BL,T04,20,20,105,1,-0.294969901764223,0.246200053860645,Wilcoxon,two.sided,1,-2.68063379415174,-2.67375158588278,0.00685863397396635,BL/T04,ns,ns,ns/ns,VA
Clostridiaceae_bacterium_Marseille_Q4143,-0.181954740515652,Value,BL,T04,20,20,59,0.0897,-0.430381697105968,0.0357382275530276,Wilcoxon,two.sided,0.99807,-2.87866575573066,-2.63714402063436,0.216337832938334,BL/T04,ns,ns,ns/ns,VA
Clostridiaceae_bacterium_Marseille_Q4145,0.197494048693587,Value,BL,T04,20,20,141,0.189,-0.0849759081804755,0.468991439376532,Wilcoxon,two.sided,0.99807,-2.68292801208829,-2.85142978112659,-0.155722388935119,BL/T04,ns,ns,ns/ns,VA
Clostridiaceae_bacterium_Marseille_Q4149,0.0746916611978146,Value,BL,T04,20,20,123,0.522,-0.147447104326073,0.277832306268987,Wilcoxon,two.sided,0.99807,-2.72351757147954,-2.82103625565909,-0.0930518901316619,BL/T04,ns,ns,ns/ns,VA
Clostridiaceae_unclassified_SGB4771,0.228273426763704,Value,BL,T04,20,20,162,0.0328,0.0164440984307137,0.488098107779952,Wilcoxon,two.sided,0.977426086956522,-2.67316359095585,-2.92629161616388,-0.225642845640979,BL/T04,ns,*,*/ns,VA
